c5	c4	c3	c2	c1	c0	a4	a3	a2	a1	a0
0	0	0	0	0	0	1	0	1	0	0
0	0	0	0	0	1	1	0	1	0	0
0	0	0	0	1	0	1	0	1	0	0
0	0	0	0	1	1	1	0	1	0	0
0	0	0	1	0	0	1	0	0	0	0
0	0	0	1	0	1	1	0	0	0	0
0	0	0	1	1	0	1	0	0	0	0
0	0	0	1	1	1	1	0	0	0	0
0	0	1	0	0	0	1	0	0	1	1
0	0	1	0	0	1	1	0	0	1	0
0	0	1	0	1	0	1	0	0	1	1
0	0	1	0	1	1	1	0	0	1	0
0	0	1	1	0	0	1	0	0	0	1
0	0	1	1	0	1	1	0	0	0	1
0	0	1	1	1	0	1	0	0	0	1
0	0	1	1	1	1	1	0	0	0	1
0	1	0	0	0	0	0	0	1	1	0
0	1	0	0	0	1	0	0	1	0	1
0	1	0	0	1	0	0	0	1	0	0
0	1	0	0	1	1	0	0	1	0	1
0	1	0	1	0	0	0	0	0	0	1
0	1	0	1	0	1	0	0	0	0	0
0	1	0	1	1	0	0	0	0	0	1
0	1	0	1	1	1	0	0	0	0	0
0	1	1	0	0	0	0	0	1	0	0
0	1	1	0	0	1	0	0	0	1	1
0	1	1	0	1	0	0	0	1	0	0
0	1	1	0	1	1	0	0	0	1	1
0	1	1	1	0	0	0	0	0	1	0
0	1	1	1	0	1	0	0	0	1	0
0	1	1	1	1	0	0	0	0	1	0
0	1	1	1	1	1	0	0	0	1	0
1	0	0	0	0	0	0	1	0	1	0
1	0	0	0	0	1	0	0	0	1	0
1	0	0	0	1	0	0	1	0	1	0
1	0	0	0	1	1	0	0	0	1	0
1	0	0	1	0	0	0	1	1	0	0
1	0	0	1	0	1	0	1	0	1	1
1	0	0	1	1	0	0	1	0	1	1
1	0	0	1	1	1	0	1	0	1	1
1	0	1	0	0	0	0	1	1	1	1
1	0	1	0	0	1	0	1	1	1	0
1	0	1	0	1	0	0	1	1	1	1
1	0	1	0	1	1	0	1	1	1	0
1	0	1	1	0	0	0	1	1	0	1
1	0	1	1	0	1	0	1	1	0	1
1	0	1	1	1	0	0	1	1	0	1
1	0	1	1	1	1	0	1	1	0	1
1	1	0	0	0	0	0	1	0	1	0
1	1	0	0	0	1	0	1	0	1	0
1	1	0	0	1	0	0	1	0	1	0
1	1	0	0	1	1	0	1	0	1	0
1	1	0	1	0	0	0	0	0	0	1
1	1	0	1	0	1	0	0	0	0	1
1	1	0	1	1	0	0	0	0	0	1
1	1	0	1	1	1	0	0	0	0	1
1	1	1	0	0	0	0	1	0	0	1
1	1	1	0	0	1	0	1	0	0	0
1	1	1	0	1	0	0	1	0	0	1
1	1	1	0	1	1	0	1	0	0	0
1	1	1	1	0	0	0	0	1	1	1
1	1	1	1	0	1	0	0	1	1	1
1	1	1	1	1	0	0	0	1	1	1
1	1	1	1	1	1	0	0	1	1	1
